"Monthly Time Series Summary of Average Temperature (1940 - 2025), Stn: 12909"

Station:,SAN ANTONIO KELLY FIELD AFB,State:,TX,ID:,12909
Latitude:,29.38333 degreeN,Longitude:,98.58333 degreeW,Elevation:,690.0 feet
Station period of record:,avgt: 01/01/1949-06/04/2025

index,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Annual
2010,M,M,M,M,M,M,M,M,M,M,M,M,M
2011,M,M,M,M,M,M,M,M,M,M,M,M,M
2012,M,M,M,M,M,M,M,M,M,M,M,M,M
2013,M,M,M,M,M,M,M,M,M,M,M,M,M
2014,M,M,M,M,M,M,M,M,M,M,M,M,M
2015,M,M,M,M,M,M,M,M,M,M,M,M,M
2016,M,M,M,M,M,M,M,M,M,M,M,M,M
2017,M,M,M,M,M,M,M,M,M,M,M,M,M
2018,M,M,M,M,M,86.79,86.32,86.76,M,69.78,57.20,53.77,M
2019,52.36,58.69,62.50,68.60,77.89,81.68,84.95,88.87,86.20,72.05,58.07,54.32,M
2020,57.61,55.14,69.68,69.79,78.29,82.28,87.90,87.57,78.97,73.17,65.12,53.92,M
2021,52.38,49.76,64.94,71.23,75.79,81.47,81.94,84.03,81.62,73.74,61.03,64.40,M
2022,50.52,49.95,61.55,74.43,82.92,86.58,88.40,86.00,81.82,71.76,60.20,55.10,70.79
2023,56.37,57.23,66.85,69.13,75.50,84.86,88.45,89.79,86.65,73.31,61.15,57.61,72.30
2024,49.74,60.86,66.52,73.83,83.00,87.17,85.77,89.40,84.23,78.74,68.08,61.68,74.08
2025,49.23,57.73,69.90,75.22,81.66,M,M,M,M,M,M,M,M

index,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Annual
Max,61.11,63.79,70.00,77.25,83.00,87.18,88.45,89.79,86.65,78.74,68.08,64.40,74.08
Min,44.92,48.16,54.44,65.12,73.03,79.93,80.45,80.27,74.67,65.76,52.67,45.02,67.29
Avg,51.922,55.435,62.543,70.504,77.337,83.085,85.624,85.686,80.536,71.306,60.658,54.758,69.988
Normals,52.552,56.773,63.552,70.207,77.458,82.397,84.848,85.497,80.693,72.297,60.343,53.148,70.000

