"STATION","NAME","DATE","AWND","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21"
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-07-06","9.17","0.00",,"0.0","0.0","83","94","72",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-07-07","10.29","0.00",,"0.0","0.0","85","96","74",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-07-08","8.50","0.00",,"0.0","0.0","85","96","74",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-07-09","10.51","0.00",,"0.0","0.0","85","96","73",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-07-10","11.86","0.00",,"0.0","0.0","87","96","77",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-07-11","12.30","0.00",,"0.0","0.0","87","97","76",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-07-12","9.40","0.00",,"0.0","0.0","86","98","74",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-07-13","6.71","0.00",,"0.0","0.0","86","100","72",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-07-14","5.82","0.00",,"0.0","0.0","89","102","75",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-07-15","6.93","0.00",,"0.0","0.0","89","102","76",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-07-16","7.61","0.00",,"0.0","0.0","88","102","74",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-07-17","10.07","0.00",,"0.0","0.0","86","97","74",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-07-18","8.95","0.00",,"0.0","0.0","86","98","74",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-07-19","8.95","0.00",,"0.0","0.0","88","100","75",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-07-20","8.28","0.00",,"0.0","0.0","87","101","73",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-07-21","6.71","0.00",,"0.0","0.0","87","101","73",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-07-22","7.61","0.00",,"0.0","0.0","87","100","74",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-07-23","6.71","0.05",,"0.0","0.0","88","101","75",,,"    1",,,,,,,,,,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-07-24","4.25","0.00",,"0.0","0.0","84","99","69",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-07-25","7.38","0.00",,"0.0","0.0","87","99","75",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-07-26","10.07","0.00",,"0.0","0.0","88","99","76",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-07-27","9.62","0.00",,"0.0","0.0","88","98","77",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-07-28","9.17","0.00",,"0.0","0.0","86","98","73",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-07-29","8.50","0.00",,"0.0","0.0","85","98","72",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-07-30","5.14","0.29",,"0.0","0.0","85","95","74","    1",,"    1",,,,,,,,"    1",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-07-31","5.14","0.00",,"0.0","0.0","82","90","73",,,"    1",,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-08-01","6.49","0.00",,"0.0","0.0","81","92","70",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-08-02","5.82","0.00",,"0.0","0.0","86","99","72",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-08-03","8.95","0.00",,"0.0","0.0","86","98","74",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-08-04","10.51","0.00",,"0.0","0.0","87","98","75",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-08-05","12.30","0.00",,"0.0","0.0","86","98","74",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-08-06","12.08","0.00",,"0.0","0.0","88","100","76",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-08-07","10.51","0.00",,"0.0","0.0","88","99","76",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-08-08","9.84","0.00",,"0.0","0.0","88","98","77",,,"    1",,,,,,,,,,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-08-09","10.29","0.00",,"0.0","0.0","88","98","77",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-08-10","8.05","0.00",,"0.0","0.0","88","99","77",,,,,,,,,,,,,,,,,
