"","DATE","TAVG","PRCP","TMAX","TMIN"
"162","1991-06-11",82.5,0,95,70
"163","1991-06-12",81,0.13,95,67
"164","1991-06-13",87,0,97,77
"165","1991-06-14",87,0,98,76
"166","1991-06-15",80.5,0.21,92,69
"167","1991-06-16",85.5,0.21,99,72
"168","1991-06-17",82,0,94,70
"169","1991-06-18",84.5,0,98,71
"170","1991-06-19",84.5,0,94,75
"171","1991-06-20",84,0,96,72
"172","1991-06-21",87.5,0,99,76
"173","1991-06-22",84,0.96,99,69
"174","1991-06-23",82.5,0.21,96,69
"175","1991-06-24",80.5,0,91,70
"176","1991-06-25",82,0,93,71
"177","1991-06-26",86,0,95,77
"178","1991-06-27",86,0,96,76
"179","1991-06-28",83.5,0.01,92,75
"180","1991-06-29",75.5,0.29,80,71
"181","1991-06-30",79.5,0.15,88,71
"182","1991-07-01",81.5,0,92,71
"183","1991-07-02",84,0,93,75
"184","1991-07-03",84.5,0,94,75
"185","1991-07-04",78,0.27,83,73
"186","1991-07-05",82.5,0,93,72
"187","1991-07-06",84.5,0,95,74
"188","1991-07-07",84,0,93,75
"189","1991-07-08",80,0.96,88,72
"190","1991-07-09",83,0,92,74
"191","1991-07-10",85,0,93,77
"192","1991-07-11",84,0,92,76
"193","1991-07-12",84.5,0,94,75
"194","1991-07-13",84,0,94,74
"195","1991-07-14",86,0.04,96,76
"196","1991-07-15",85,0,96,74
"197","1991-07-16",85,0,97,73
"198","1991-07-17",86,0,97,75
"199","1991-07-18",85.5,0,97,74
"200","1991-07-19",86,0,97,75
"201","1991-07-20",86.5,0,96,77
"202","1991-07-21",88,0,97,79
"203","1991-07-22",82.5,0.96,93,72
"204","1991-07-23",81,0,90,72
"205","1991-07-24",84,0,94,74
"206","1991-07-25",85.5,0,95,76
"207","1991-07-26",86,0,95,77
"208","1991-07-27",85.5,0,94,77
"209","1991-07-28",86.5,0,96,77
"210","1991-07-29",87.5,0,99,76
"211","1991-07-30",87,0,102,72
"212","1991-07-31",87.5,0,103,72
"213","1991-08-01",85.5,0,101,70
"214","1991-08-02",87,0,98,76
"215","1991-08-03",87.5,0,98,77
"216","1991-08-04",86.5,0,96,77
"217","1991-08-05",81.5,0,92,71
"218","1991-08-06",85.5,0,96,75
"219","1991-08-07",83.5,0.01,95,72
"220","1991-08-08",84.5,0,96,73
"221","1991-08-09",87,0,98,76
"222","1991-08-10",87,0,97,77
"223","1991-08-11",88,0,99,77
"224","1991-08-12",89.5,0,102,77
"225","1991-08-13",88.5,0,100,77
"226","1991-08-14",86,0,94,78
"227","1991-08-15",85.5,0,94,77
"228","1991-08-16",88,0,99,77
"229","1991-08-17",89,0,100,78
"230","1991-08-18",89,0.26,100,78
"231","1991-08-19",86,0,98,74
"232","1991-08-20",84.5,0,98,71
"233","1991-08-21",89,0,101,77
"234","1991-08-22",87.5,0.02,100,75
"235","1991-08-23",82,1.22,92,72
"236","1991-08-24",83,0,94,72
"237","1991-08-25",84,0,95,73
"238","1991-08-26",82,0,95,69
"239","1991-08-27",82,0,93,71
"240","1991-08-28",85.5,0,97,74
"241","1991-08-29",87.5,0,98,77
"242","1991-08-30",87.5,0.28,99,76
"243","1991-08-31",81.5,1.05,90,73
"244","1991-09-01",82,0.01,93,71
"245","1991-09-02",82,0.14,93,71
"246","1991-09-03",79,0,87,71
"247","1991-09-04",80.5,0,91,70
"248","1991-09-05",80.5,0,88,73
"249","1991-09-06",80,0.06,86,74
"250","1991-09-07",81,0,87,75
"251","1991-09-08",83.5,0.03,91,76
"252","1991-09-09",84.5,0,93,76
"253","1991-09-10",83.5,0,94,73
"254","1991-09-11",82,0,93,71
"255","1991-09-12",82.5,0.06,92,73
"256","1991-09-13",83.5,0.21,91,76
"257","1991-09-14",81.5,0.52,88,75
"258","1991-09-15",83.5,0,91,76
"259","1991-09-16",83,0,91,75
"260","1991-09-17",82.5,0,92,73
"261","1991-09-18",81.5,0,93,70
"262","1991-09-19",63,0.1,70,56
"263","1991-09-20",62,0,67,57
"264","1991-09-21",71.5,0,83,60
"265","1991-09-22",80,0.03,91,69
"266","1991-09-23",80.5,0.07,88,73
"267","1991-09-24",77,0.19,90,64
"268","1991-09-25",68,0,83,53
"269","1991-09-26",70.5,0,89,52
"270","1991-09-27",72,0,87,57
"271","1991-09-28",70,0,84,56
"272","1991-09-29",70,0,85,55
"273","1991-09-30",73,0,88,58
"274","1991-10-01",76,0.02,85,67
"275","1991-10-02",74.5,0,89,60
"276","1991-10-03",77.5,0,90,65
"277","1991-10-04",83,0,92,74
"278","1991-10-05",70.5,0,79,62
"279","1991-10-06",64.5,0,73,56
"280","1991-10-07",63.5,0,80,47
"281","1991-10-08",68.5,0,81,56
"282","1991-10-09",68.5,0,85,52
"283","1991-10-10",71.5,0,88,55
"284","1991-10-11",75,0,95,55
"285","1991-10-12",78,0,99,57
"286","1991-10-13",78.5,0,97,60
"287","1991-10-14",76.5,0,94,59
"288","1991-10-15",74,0,90,58
"289","1991-10-16",73,0,88,58
"290","1991-10-17",73,0,89,57
"291","1991-10-18",73,0,87,59
"292","1991-10-19",73.5,0,85,62
"293","1991-10-20",72,0,84,60
"294","1991-10-21",68.5,0,84,53
"295","1991-10-22",78.5,0,88,69
"296","1991-10-23",82,0,90,74
"297","1991-10-24",83,0,91,75
"298","1991-10-25",82.5,0.01,91,74
"299","1991-10-26",81,0,88,74
"300","1991-10-27",80.5,0,87,74
"301","1991-10-28",80.5,0,86,75
"302","1991-10-29",69.5,0.24,86,53
"303","1991-10-30",53.5,0.16,58,49
"304","1991-10-31",46.5,0.44,54,39
"305","1991-11-01",49.5,0,61,38
"306","1991-11-02",46.5,0,56,37
"307","1991-11-03",40,0,45,35
"308","1991-11-04",38.5,0,49,28
"309","1991-11-05",45.5,0,56,35
"310","1991-11-06",61.5,0,70,53
"311","1991-11-07",60,0.01,72,48
"312","1991-11-08",47.5,0,60,35
"313","1991-11-09",45,0,61,29
"314","1991-11-10",51,0,68,34
"315","1991-11-11",59,0,73,45
"316","1991-11-12",61,0,67,55
"317","1991-11-13",64,0,73,55
"318","1991-11-14",70,0,79,61
"319","1991-11-15",74.5,0.03,79,70
"320","1991-11-16",73.5,0.03,77,70
"321","1991-11-17",60,0.4,72,48
"322","1991-11-18",62,0,79,45
"323","1991-11-19",67,0,79,55
"324","1991-11-20",53.5,0,67,40
"325","1991-11-21",52,0,70,34
"326","1991-11-22",59,0,79,39
"327","1991-11-23",45.5,0,58,33
"328","1991-11-24",44,0,61,27
"329","1991-11-25",46.5,0,65,28
"330","1991-11-26",63.5,0,72,55
"331","1991-11-27",68,0,76,60
"332","1991-11-28",73.5,0,80,67
"333","1991-11-29",75.5,0,84,67
"334","1991-11-30",64,0,78,50
"335","1991-12-01",44.5,0.01,50,39
"336","1991-12-02",48,0.02,60,36
"337","1991-12-03",48,0,62,34
"338","1991-12-04",45.5,0,62,29
"339","1991-12-05",53,0,69,37
"340","1991-12-06",64.5,0,73,56
"341","1991-12-07",66.5,0.02,70,63
"342","1991-12-08",72.5,0.06,76,69
"343","1991-12-09",67,0,77,57
"344","1991-12-10",64,0.01,75,53
"345","1991-12-11",67,0.07,73,61
"346","1991-12-12",68,0.07,72,64
"347","1991-12-13",63,0.85,70,56
"348","1991-12-14",50.5,0,62,39
"349","1991-12-15",46,0,57,35
"350","1991-12-16",48,0,57,39
"351","1991-12-17",52.5,0.45,55,50
"352","1991-12-18",57.5,1.49,60,55
"353","1991-12-19",62.5,5.97,67,58
"354","1991-12-20",68,1.08,70,66
"355","1991-12-21",61.5,2.6,69,54
"356","1991-12-22",60.5,0.6,68,53
"357","1991-12-23",55.5,0,64,47
"358","1991-12-24",48,0,58,38
"359","1991-12-25",42.5,0.15,49,36
"360","1991-12-26",45,0.48,47,43
"361","1991-12-27",49.5,0,59,40
"362","1991-12-28",47.5,0,60,35
"363","1991-12-29",46,0,58,34
"364","1991-12-30",52,0,61,43
"365","1991-12-31",56.5,0.03,60,53
"366","1992-01-01",59.5,0.18,66,53
"367","1992-01-02",54.5,0.36,66,43
"368","1992-01-03",53,0,69,37
"369","1992-01-04",51,0.28,60,42
"370","1992-01-05",54,0.09,62,46
"371","1992-01-06",53,0,62,44
"372","1992-01-07",59,0.07,64,54
"373","1992-01-08",57.5,0,65,50
"374","1992-01-09",54.5,0,60,49
"375","1992-01-10",55,0,63,47
"376","1992-01-11",50.5,0.61,54,47
"377","1992-01-12",52,0,56,48
"378","1992-01-13",44.5,0,55,34
"379","1992-01-14",44,0,55,33
"380","1992-01-15",46.5,0,61,32
"381","1992-01-16",35,0,41,29
"382","1992-01-17",39,0.74,42,36
"383","1992-01-18",42.5,0.19,47,38
"384","1992-01-19",43,0,52,34
"385","1992-01-20",43,0,57,29
"386","1992-01-21",47,0.37,49,45
"387","1992-01-22",57.5,0,72,43
"388","1992-01-23",50.5,0,64,37
"389","1992-01-24",49,0,65,33
"390","1992-01-25",50,0.25,61,39
"391","1992-01-26",53.5,2.5,55,52
"392","1992-01-27",53.5,0,57,50
"393","1992-01-28",51.5,0,53,50
"394","1992-01-29",53.5,0,58,49
"395","1992-01-30",56,0,68,44
"396","1992-01-31",59.5,0,76,43
"397","1992-02-01",55,0.28,69,41
"398","1992-02-02",55.5,1.54,58,53
"399","1992-02-03",59,1.62,62,56
"400","1992-02-04",53.5,0.26,58,49
"401","1992-02-05",53.5,0,63,44
"402","1992-02-06",51,0,68,34
"403","1992-02-07",52.5,0,65,40
"404","1992-02-08",50.5,0,63,38
"405","1992-02-09",55,0,65,45
"406","1992-02-10",60,0,69,51
"407","1992-02-11",68.5,0,76,61
"408","1992-02-12",71.5,0,79,64
"409","1992-02-13",68,0,71,65
"410","1992-02-14",68.5,0,73,64
"411","1992-02-15",67,0,82,52
"412","1992-02-16",60.5,0.03,73,48
"413","1992-02-17",66.5,0,78,55
"414","1992-02-18",62,0,78,46
"415","1992-02-19",57,0,73,41
"416","1992-02-20",55.5,0,71,40
"417","1992-02-21",58.5,0.25,67,50
"418","1992-02-22",66,1.3,76,56
"419","1992-02-23",64,0,75,53
"420","1992-02-24",58,1.06,64,52
"421","1992-02-25",48,0.03,55,41
"422","1992-02-26",49,0,65,33
"423","1992-02-27",58,0,77,39
"424","1992-02-28",58.5,0,79,38
"425","1992-02-29",63,0,82,44
"426","1992-03-01",61,0,75,47
"427","1992-03-02",65,0.19,66,64
"428","1992-03-03",66.5,2.5,76,57
"429","1992-03-04",65,1.09,73,57
"430","1992-03-05",67.5,0,79,56
"431","1992-03-06",66.5,0,83,50
"432","1992-03-07",64.5,0,79,50
"433","1992-03-08",70.5,0.02,77,64
"434","1992-03-09",71,0.06,84,58
"435","1992-03-10",49.5,0,59,40
"436","1992-03-11",45,0,51,39
"437","1992-03-12",57.5,0,71,44
"438","1992-03-13",59.5,0,77,42
"439","1992-03-14",65,0,79,51
"440","1992-03-15",65,0,81,49
"441","1992-03-16",67.5,0,73,62
"442","1992-03-17",68.5,0.02,75,62
"443","1992-03-18",69.5,0,85,54
"444","1992-03-19",63.5,0,79,48
"445","1992-03-20",58,0,68,48
"446","1992-03-21",62,0.01,67,57
"447","1992-03-22",66,0.01,80,52
