"STATION","NAME","DATE","ACSH","AWND","PGTM","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT12","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21"
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-03-31","    0",," 1436","0.00","0.0",,"84","46","  750",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-04-01","    0",," 2018","0.00","0.0",,"82","45","  750",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-04-02","   80",," 2336","0.28","0.0",,"82","53","  300","    1",,"    1",,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-04-03","   20",," 1736","0.03","0.0",,"72","49","  696",,,"    1",,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-04-04","    0",," 1030","0.00","0.0",,"68","42","  756",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-04-05","   70",," 1724","0.00","0.0",,"68","40","  564",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-04-06","  100",," 1354","0.88","0.0",,"58","48","    0","    1",,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-04-07","   50",," 1412","0.00","0.0",,"75","46","  510","    1","    1",,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-04-08","   70",," 1248","0.00","0.0",,"63","43","  270","    1","    1",,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-04-09","    0",," 0812","0.00","0.0",,"68","35","  762",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-04-10","    0",," 1554","0.00","0.0",,"66","37","  762",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-04-11","  100",," 1718","0.00","0.0",,"69","43","   18",,,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-04-12","  100",," 1842","0.00","0.0",,"75","59","   84","    1",,,,,,,"    1",,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-04-13","  100",," 1848","0.08","0.0",,"70","64","    0","    1","    1",,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-04-14","  100",," 2018","0.35","0.0",,"72","66","    0","    1",,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-04-15","  100",," 0324","2.53","0.0",,"77","62","   42","    1",,"    1",,,,,"    1",,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-04-16","   30",," 1518","0.00","0.0",,"79","65","  612","    1",,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-04-17","   60",," 1118","0.56","0.0",,"78","59","  372","    1",,"    1",,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-04-18","   50",," 1718","0.01","0.0",,"83","50","  426","    1",,,,,,,"    1",,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-04-19","   50",," 2100","0.07","0.0",,"87","70","  552","    1",,,,,,,"    1",,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-04-20","   80",," 1418","0.00","0.0",,"88","71","  438",,,,,,,,"    1",,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-04-21","  100",," 0306","0.03","0.0",,"79","73","    0","    1",,,,,,,"    1",,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-04-22","  100",," 1342","0.06","0.0",,"77","72","    0","    1",,,,,,,"    1",,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-04-23","  100",," 1130","0.11","0.0",,"76","72","    0","    1",,,,,,,"    1",,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-04-24","   80",," 1630","0.05","0.0",,"83","69","  228","    1","    1",,,,,,"    1",,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-04-25","   50",," 1454","0.36","0.0",,"86","63","  522","    1","    1","    1",,"    1",,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-04-26","   40",," 1818","0.00","0.0",,"78","58","  642",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-04-27","   10",," 0236","0.00","0.0",,"74","50","  792",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-04-28","   30",," 1936","0.00","0.0",,"78","48","  684",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-04-29","  100",," 1524","0.00","0.0",,"81","65","   30","    1",,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-04-30","  100",," 2306","0.01","0.0",,"79","69","    0","    1",,,,,,,"    1",,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-05-01","   90",," 0230","0.01","0.0",,"84","74","  228","    1",,,,,,,"    1",,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-05-02","   80",," 0818","0.23","0.0",,"78","64","  246","    1",,"    1",,,,,"    1",,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-05-03","   10",," 0900","0.00","0.0",,"78","54","  780",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-05-04","   30",," 1706","0.00","0.0",,"79","48","  804",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-05-05","  100",," 1242","0.02","0.0",,"76","58","   12","    1",,,,,,,"    1",,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-05-06","  100",," 1930","1.02","0.0",,"85","72","  108","    1",,"    1",,"    1",,,"    1",,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-05-07","    0",," 0842","0.00","0.0",,"87","60","  696",,,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-05-08","   20",," 1406","0.00","0.0",,"90","56","  696",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-05-09","   20",," 1324","0.00","0.0",,"90","57","  672",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-05-10","  100",," 1254","0.00","0.0",,"81","68","   24",,,,,,,,"    1",,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-05-11","  100",," 2342","0.00","0.0",,"87","74","  114","    1",,"    1",,,,,"    1",,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-05-12","   80",," 0906","1.44","0.0",,"80","68","  264",,,"    1",,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-05-13","   40",," 1100","0.00","0.0",,"79","61","  714",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-05-14","   90",," 1800","0.00","0.0",,"77","59","  456",,,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-05-15","   80",," 0012","0.00","0.0",,"76","56","  414",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-05-16","   50",," 1548","0.00","0.0",,"82","49","  780",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-05-17","   40",," 1530","0.00","0.0",,"88","58","  750",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-05-18","    0",," 2106","0.00","0.0",,"90","58","  822",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-05-19","    0",," 1206","0.00","0.0",,"94","62","  822",,,,,,,,"    1",,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-05-20","   50",," 1854","0.00","0.0",,"93","65","  564","    1",,,,,,,"    1",,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-05-21","   20",," 1906","0.00","0.0",,"91","70","  696","    1",,,,,,,"    1",,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-05-22","   40",," 0930","0.00","0.0",,"89","70","  576",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-05-23","  100",," 0124","0.00","0.0",,"82","73","   24",,,,,,,,"    1",,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-05-24","  100",," 1424","0.00","0.0",,"88","75","  342","    1",,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-05-25","   90",," 1442","0.00","0.0",,"84","75","   48","    1",,,,,,,"    1",,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-05-26","  100",," 1442","0.01","0.0",,"93","75","  552","    1",,,,,,,"    1",,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-05-27","    0",," 1612","0.00","0.0",,"95","71","  828","    1",,,,,,,"    1",,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-05-28","   10",," 0924","0.00","0.0",,"89","65","  780",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-05-29","   30",," 1400","0.00","0.0",,"89","62","  798",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-05-30","   10",," 1712","0.00","0.0",,"88","63","  786",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-05-31","   60",," 2036","0.00","0.0",,"90","61","  714",,,,,,,,"    1",,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-06-01","   70",," 1800","0.00","0.0",,"92","74","  438",,,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-06-02","   60",," 1254","0.00","0.0",,"93","75","  486",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-06-03","   90",," 1918","0.00","0.0",,"90","78","  276",,,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-06-04","   80",," 1700","0.00","0.0",,"90","78","  330",,,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-06-05","   90",," 1824","0.04","0.0",,"91","69","  294","    1",,"    1",,,,,"    1",,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-06-06","   40",," 0118","0.00","0.0",,"88","68","  762",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-06-07","   30",," 1706","0.00","0.0",,"88","59","  840",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-06-08","   60",," 1900","0.00","0.0",,"88","62","  648",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-06-09","   80",," 1600","0.07","0.0",,"84","70","  366","    1",,,,,,,"    1",,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-06-10","   80",," 1548","0.00","0.0",,"89","71","  426",,,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-06-11","  100",," 1436","2.11","0.0",,"77","66","  132","    1",,"    1",,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-06-12","   90",," 0024","3.26","0.0",,"81","66","  330",,,"    1",,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-06-13","   70",," 1818","0.00","0.0",,"87","70","  492",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-06-14","   70",," 1430","0.00","0.0",,"90","71","  474","    1","    1",,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-06-15","   70",," 1706","0.00","0.0",,"92","78","  486",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-06-16","   70",," 1230","0.00","0.0",,"92","78","  408",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-06-17","   80",," 0042","0.10","0.0",,"91","72","  348",,,"    1",,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-06-18","   70",," 2006","0.00","0.0",,"92","78","  636",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-06-19","   70",," 2206","0.24","0.0",,"92","69","  576","    1",,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-06-20","  100",," 2036","1.01","0.0",,"80","68","   90",,,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-06-21","   90",," 1054","0.03","0.0",,"82","68","  342",,,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-06-22","  100",," 1300","0.00","0.0",,"84","69","  234",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-06-23","  100",," 1054","0.00","0.0",,"84","71","  114",,,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-06-24","  100",," 1906","0.30","0.0",,"78","72","   12","    1",,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-06-25","  100",," 1024","3.27","0.0",,"73","70","   30","    1",,"    1",,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-06-26","   90",," 1648","0.01","0.0",,"87","69","  306","    1",,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-06-27","   50",," 1506","0.00","0.0",,"89","68","  708","    1",,,,,,,"    1",,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-06-28","   60",," 1424","0.00","0.0",,"90","73","  660","    1",,,,,,,"    1",,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-06-29","   50",," 1606","0.00","0.0",,"90","75","  726","    1",,,,,,,"    1",,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-06-30","   60",," 1442","0.00","0.0",,"92","78","  570",,,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-07-01","   40",," 1206","0.00","0.0",,"91","77","  678",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-07-02","   70",," 1624","0.06","0.0",,"90","76","  618",,,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-07-03","   80",," 1618","0.04","0.0",,"90","76","  546",,,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-07-04","   40",," 1418","0.00","0.0",,"91","72","  666",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-07-05","   20",," 1500","0.00","0.0",,"92","76","  804",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-07-06","   50",," 1618","0.00","0.0",,"92","76","  684",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-07-07","   70",," 1742","1.54","0.0",,"92","74","  468","    1",,"    1",,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-07-08","   90",," 1742","2.16","0.0",,"92","71","  318","    1",,"    1",,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-07-09","   70",," 1036","0.00","0.0",,"91","76","  576","    1",,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-07-10","   40",," 1236","0.00","0.0",,"90","77","  726",,,,,,,,"    1",,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-07-11","   60",," 1654","0.00","0.0",,"90","74","  780",,,,,,,,"    1",,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-07-12","   40",," 1430","0.00","0.0",,"91","72","  738",,,,,,,,"    1",,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-07-13","   40",," 1624","0.00","0.0",,"90","73","  774",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-07-14","   80",," 0712","0.00","0.0",,"91","76","  342",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-07-15","  100",," 0100","0.66","0.0",,"87","71","  522","    1",,"    1",,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-07-16","  100",," 2106","2.27","0.0",,"86","71","  324","    1",,"    1",,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-07-17","   60",," 1612","0.00","0.0",,"92","77","  558",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-07-18","   60",," 1200","0.00","0.0",,"92","77","  570",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-07-19","   50",," 2130","0.00","0.0",,"92","78","  642",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-07-20","   50",," 2112","0.00","0.0",,"92","78","  714",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-07-21","   30",," 1448","0.00","0.0",,"93","76","  750",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-07-22","   50",," 1824","0.00","0.0",,"92","77","  618",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-07-23","   60",," 1730","0.02","0.0",,"91","78","  564",,,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-07-24","   50",," 1330","0.00","0.0",,"91","75","  666",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-07-25","   20",," 1542","0.00","0.0",,"93","74","  804",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-07-26","   70",," 2142","0.00","0.0",,"94","75","  786",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-07-27","   40",," 1624","0.00","0.0",,"94","72","  558",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-07-28","   40",," 2036","0.00","0.0",,"94","76","  762",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-07-29","   30",," 1242","0.00","0.0",,"94","78","  708",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-07-30","   60",," 1854","0.00","0.0",,"94","76","  582",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-07-31","   90",," 0718","0.16","0.0",,"82","73","  102",,,"    1",,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-08-01","   80",," 1218","1.13","0.0",,"90","72","  432",,,"    1",,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-08-02","   50",," 1348","0.00","0.0",,"90","72","  720",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-08-03","   20",," 1442","0.00","0.0",,"91","65","  810",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-08-04","   40",," 1454","0.00","0.0",,"89","70","  516","    1",,,,,,,"    1",,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-08-05","   20",," 1312","0.00","0.0",,"89","66","  672","    1",,,,,,,"    1",,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-08-06","   30",," 1330","0.00","0.0",,"94","75","  696","    1",,,,,,,"    1",,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-08-07","   60",," 1854","0.00","0.0",,"93","77","  534",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-08-08","   50",," 1030","0.00","0.0",,"93","78","  480",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-08-09","   60",," 1612","0.00","0.0",,"93","77","  582",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-08-10","   40",," 1524","0.00","0.0",,"92","75","  678",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-08-11","   40",," 1700","0.00","0.0",,"92","75","  576",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-08-12","   50",," 1818","0.00","0.0",,"92","76","  522","    1",,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-08-13","   70",," 1824","0.10","0.0",,"92","74","  438","    1",,"    1",,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-08-14","   50",," 1512","0.01","0.0",,"93","71","  510",,,"    1",,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-08-15","   60",," 2042","0.00","0.0",,"91","69","  582",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-08-16","   30",," 1918","0.00","0.0",,"91","71","  714",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-08-17","   50",," 1848","0.00","0.0",,"91","71","  672","    1",,"    1",,,,,"    1",,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-08-18","   90",," 1712","0.02","0.0",,"88","73","  216","    1",,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-08-19","   90",," 1242","0.00","0.0",,"91","77","  492",,,,,,,,"    1",,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-08-20","   50",," 1536","0.00","0.0",,"93","73","  606",,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-08-21","   10",," 1148","0.00","0.0",,"94","72","  750",,,,,,,,"    1",,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-08-22","    0",," 1230","0.00","0.0",,"95","71","  720",,,,,,,,"    1",,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-08-23","    0",," 1700","0.00","0.0",,"97","68","  744",,,,,,,,"    1",,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-08-24","   20",," 1754","0.00","0.0",,"93","68","  582","    1",,,,,,,"    1",,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-08-25","   40",," 1200","0.00","0.0",,"92","70","  642","    1",,,,,,,"    1",,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-08-26","   20",," 1918","0.00","0.0",,"92","73","  606",,,,,,,,"    1",,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-08-27","   40",," 1548","0.00","0.0",,"91","74","  504",,,,,,,,"    1",,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1973-08-28","   50",," 1242","0.00","0.0",,"90","72","  546",,,,,,,,"    1",,,,,,,,"    1",,,,
