"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","TMAX","TMIN","WT01","WT02","WT03","WT06","WT08"
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-03",," 1649","0.01",,,,"    1",,"    1",,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-04",," 1403","0.00",,,,"    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-05",," 1421","0.00",,,,"    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-06",," 0846","0.00",,,,,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-07",," 0634","0.00",,,,"    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-08",," 0604","0.00",,,,,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-09",," 0927","0.00",,,,"    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-10","16.11"," 0705","0.00",,,,,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-11","7.83"," 0923","0.00",,,,,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-12",," 0556","0.00",,,,,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-13",,,"0.00",,,,,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-14",," 1516","0.00",,,,,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-15","12.30"," 1555","0.00",,"80","63",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-16","11.63"," 0909","0.00",,"77","52",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-17",," 0315","0.00",,,,,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-18",,,"0.00",,,,,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-19",," 1613","0.00",,,,,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-20","5.14"," 1447","0.00",,"83","64",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-21","11.41"," 1323","0.00",,"89","71",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-22","10.74"," 0648","0.00",,"81","52",,,"    1",,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-23","5.82"," 1135","0.00",,"82","46",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-24","10.51"," 1445","0.00",,"78","47",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-25","4.70"," 1318","0.00",,"82","40",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-26","10.07"," 1132","0.00",,"84","43",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-27","16.33"," 0816","0.00",,"65","44",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-28","8.50"," 1128","0.00",,"64","33",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-29","7.61"," 1430","0.00",,"75","32",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-30","6.93"," 1225","0.00",,"80","38",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-31","11.18"," 1217","0.67",,"62","52",,,"    1",,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-11-01","6.49"," 1503","0.01",,"79","55","    1","    1",,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-11-02","8.50"," 1417","0.00",,"84","65","    1","    1",,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-11-03","6.04"," 1452","0.00",,"88","72","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-11-05","10.96"," 1009","0.00",,"91","70",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-11-06","8.95"," 1307","0.00",,"89","67",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-11-07","11.18"," 1757","0.00",,"85","60",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-11-08","15.66"," 1510","0.18",,"61","46","    1",,"    1",,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-11-09","10.07"," 0145","0.00",,"61","46","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-11-10","5.37"," 1352","0.00",,"63","52",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-11-11","6.49"," 1411","0.00",,"75","57",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-11-12","3.80"," 1410","0.02",,"76","63","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-11-14","10.07"," 1431","0.00",,"80","53","    1","    1",,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-11-15","6.93"," 1100","0.00",,"77","66","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-11-16","4.47"," 1512","0.00",,"86","67","    1","    1",,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-11-17","12.75"," 1554","0.00",,"86","67",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-11-18","18.12"," 1325","0.00",,"87","54",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-11-19","9.17"," 1037","0.00",,"65","40",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-11-20","6.26"," 1354","0.00",,"70","36",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-11-21","8.50"," 2350","0.00",,"75","43",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-11-22","13.42"," 0108","0.00",,"67","39",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-11-23","4.25"," 1431","0.00",,"71","33",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-11-24","7.38"," 1500","0.00",,"76","38",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-11-25","6.49"," 1237","0.00",,"82","41",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-11-26","4.92"," 1410","0.00",,"78","51",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-11-27","5.82"," 1219","0.00",,"77","45","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-11-28","5.14"," 1454","0.00",,"81","43","    1","    1",,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-11-29","7.16"," 0932","0.00",,"74","47",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-11-30","3.80"," 1417","0.00",,"78","42",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-12-01","4.70"," 1621","0.00",,"78","49",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-12-02","3.80"," 1315","0.00",,"79","45","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-12-03","4.70"," 1636","0.03",,"76","61","    1","    1",,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-12-05",," 1420","0.03",,"71","47",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-12-06","13.20"," 0210","1.04",,"47","40","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-12-08","4.47"," 1521","0.00",,"50","28","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-12-09","10.74"," 1329","0.00",,"66","32",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-12-10","4.92"," 1624","0.00",,"70","31",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-12-11","4.25"," 1538","0.00",,"76","34",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-12-12","9.62"," 0500","0.00",,"64","35",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-12-13","6.26"," 1547","0.00",,"61","31",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-12-14","6.04"," 2305","0.00",,"61","38",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-12-15","7.38"," 0057","0.00",,"59","41",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-12-16","3.80"," 1356","1.42",,"52","38","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-12-17","4.25"," 1147","0.00",,"57","45","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-12-18","4.03"," 1437","0.01",,"57","50","    1","    1",,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-12-19","8.72"," 1949","1.05",,"71","57","    1","    1","    1",,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-12-20","5.59"," 1315","0.00",,"75","44",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-12-21","6.71"," 1323","0.00",,"79","42","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-12-22","11.86"," 1823","0.00",,"72","42","    1",,,,"    1"
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-12-23","5.59"," 1019","0.00",,"58","37",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-12-24","10.29"," 1352","0.00",,"67","35",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-12-25","7.83"," 0002","0.00",,"57","33",,,,,"    1"
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-12-26","11.63"," 2222","0.01",,"52","42","    1",,,,"    1"
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-12-27","16.55"," 0754","0.00",,"42","38","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-12-28","7.61"," 1501","0.00",,"50","37",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-12-29","6.26"," 0602","0.00",,"49","40","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-12-30","7.83"," 1555","0.00",,"66","47","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-12-31","16.33"," 2336","0.00",,"47","28","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-01-01","15.66"," 0318","0.00",,"34","26",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-01-02","10.96"," 2103","0.00",,"33","28","    1",,,,"    1"
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-01-03","5.37"," 1416","0.00",,"58","18",,,,,
