"Monthly Time Series Summary of Min Temperature (1940 - 2025), Stn: 12909"

Station:,SAN ANTONIO KELLY FIELD AFB,State:,TX,ID:,12909
Latitude:,29.38333 degreeN,Longitude:,98.58333 degreeW,Elevation:,690.0 feet
Station period of record:,mint: 01/01/1949-06/04/2025

index,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Annual
2010,M,M,M,M,M,M,M,M,M,M,M,M,M
2011,M,M,M,M,M,M,M,M,M,M,M,M,M
2012,M,M,M,M,M,M,M,M,M,M,M,M,M
2013,M,M,M,M,M,M,M,M,M,M,M,M,M
2014,M,M,M,M,M,M,M,M,M,M,M,M,M
2015,M,M,M,M,M,M,M,M,M,M,M,M,M
2016,M,M,M,M,M,M,M,M,M,M,M,M,M
2017,M,M,M,M,M,M,M,M,M,M,M,M,M
2018,M,M,M,M,M,75.8,74.4,75.4,M,62.3,46.9,42.8,M
2019,41.9,49.7,52.1,56.6,69.3,72.1,74.4,77.4,74.9,60.3,45.9,40.3,M
2020,47.1,42.8,59.7,57.9,66.0,71.8,76.3,75.2,69.0,60.6,52.8,39.2,M
2021,39.4,40.1,53.1,60.5,67.0,73.0,74.0,74.7,69.1,61.7,48.9,53.5,59.9
2022,37.4,35.5,45.5,63.2,71.2,73.5,75.9,75.4,70.2,59.1,51.0,44.5,58.6
2023,43.8,44.5,56.2,58.3,66.6,74.2,76.2,76.5,74.6,62.7,52.3,45.0,61.0
2024,38.0,49.4,56.0,63.0,73.1,76.8,76.0,77.7,72.9,65.8,55.3,51.4,62.9
2025,38.8,46.4,55.8,63.9,69.9,M,M,M,M,M,M,M,M

index,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Annual
Max,52.6,55.7,60.0,67.8,73.1,76.8,77.8,77.7,74.9,65.8,55.3,53.5,62.9
Min,32.2,35.5,44.1,54.9,63.6,70.8,72.1,69.9,65.2,53.6,40.2,35.3,56.9
Avg,41.25,44.74,51.45,60.19,67.58,73.16,75.12,74.92,70.47,60.44,49.86,43.84,59.51
Normals,41.01,43.93,51.91,58.49,66.30,71.81,73.80,74.19,69.60,60.41,48.89,41.19,58.50

